Year/Année,Name/Nom,Frequency/Fréquence
1957,JOSEPH,3946
1956,JOSEPH,3935
1958,JOSEPH,3853
1960,JOSEPH,3840
1959,JOSEPH,3811
1962,DAVID,3805
1963,DAVID,3740
1955,JOSEPH,3681
1960,DAVID,3664
1959,DAVID,3651
1961,JOSEPH,3650
1964,DAVID,3607
1954,JOSEPH,3566
1947,JOHN,3546
1963,JOSEPH,3542
1955,JOHN,3534
1962,JOSEPH,3534
1955,DAVID,3525
1954,JOHN,3515
1953,JOHN,3513
1952,JOHN,3492
1961,DAVID,3492
1957,JOHN,3451
1958,DAVID,3437
1947,JOSEPH,3427
1964,JOHN,3417
1955,ROBERT,3406
1964,JOSEPH,3398
1947,ROBERT,3396
1951,JOHN,3390
1957,ROBERT,3388
1954,ROBERT,3364
1956,JOHN,3364
1957,DAVID,3364
1953,JOSEPH,3355
1961,JOHN,3341
1959,JOHN,3337
1956,ROBERT,3332
1953,ROBERT,3326
1952,ROBERT,3321
1962,ROBERT,3314
1948,JOHN,3311
1949,JOHN,3308
1952,JOSEPH,3306
1962,JOHN,3296
1946,JOSEPH,3291
1948,JOSEPH,3284
1963,ROBERT,3283
1959,ROBERT,3279
1961,ROBERT,3253
1960,JOHN,3251
1950,JOHN,3243
1964,ROBERT,3243
1949,ROBERT,3242
1954,DAVID,3242
1948,ROBERT,3240
1960,ROBERT,3238
1958,ROBERT,3232
1951,ROBERT,3229
1946,JOHN,3222
1958,JOHN,3207
1945,JOSEPH,3205
1963,JOHN,3159
1950,ROBERT,3158
1956,DAVID,3157
1965,DAVID,3154
1951,JOSEPH,3153
1950,JOSEPH,3137
1965,JOSEPH,3095
1966,DAVID,3070
1963,MICHAEL,3051
1953,DAVID,3046
1964,MICHAEL,3034
1943,JOSEPH,3019
1942,JOSEPH,3011
1944,JOSEPH,2993
1961,MICHAEL,2991
1967,DAVID,2990
1949,JOSEPH,2980
1965,ROBERT,2975
1946,ROBERT,2971
1962,MICHAEL,2945
1960,MICHAEL,2944
1965,MICHAEL,2941
1984,MICHAEL,2914
1941,JOSEPH,2893
1965,JOHN,2846
1980,MICHAEL,2846
1976,MICHAEL,2828
1945,JOHN,2826
1983,MICHAEL,2826
1982,MICHAEL,2819
1958,MICHAEL,2817
1959,MICHAEL,2816
1952,DAVID,2807
1970,MICHAEL,2805
1979,MICHAEL,2805
1975,MICHAEL,2800
1920,JOHN,2789
1927,JOSEPH,2787
1978,MICHAEL,2772
1932,JOSEPH,2769
1990,MICHAEL,2766
1930,JOSEPH,2760
1974,JASON,2751
1968,MICHAEL,2749
1928,JOSEPH,2747
1966,MICHAEL,2741
1969,MICHAEL,2740
1931,JOSEPH,2735
1939,JOSEPH,2733
1989,MICHAEL,2731
1973,JASON,2730
1968,DAVID,2724
1985,MICHAEL,2724
1936,JOSEPH,2707
1921,JOHN,2705
1969,DAVID,2701
1937,JOSEPH,2694
1940,JOSEPH,2694
1977,MICHAEL,2693
1986,MICHAEL,2688
1967,MICHAEL,2685
1929,JOSEPH,2678
1981,MICHAEL,2677
1935,JOSEPH,2673
1938,JOSEPH,2671
1970,DAVID,2665
1988,MICHAEL,2664
1957,MICHAEL,2658
1974,MICHAEL,2651
1921,WILLIAM,2646
1926,JOSEPH,2633
1943,JOHN,2632
1966,JOHN,2631
1966,ROBERT,2628
1923,JOHN,2627
1987,MICHAEL,2627
1922,JOHN,2625
1969,ROBERT,2625
1925,JOSEPH,2616
1942,JOHN,2601
1972,JASON,2601
1934,JOSEPH,2585
1933,JOSEPH,2580
1970,ROBERT,2580
1924,WILLIAM,2573
1973,MICHAEL,2571
1922,WILLIAM,2569
1968,ROBERT,2563
1991,MICHAEL,2560
1924,JOHN,2540
1944,JOHN,2526
1947,WILLIAM,2523
1925,JOHN,2520
1920,WILLIAM,2517
1966,JOSEPH,2517
1925,WILLIAM,2511
1959,JAMES,2504
1928,JOHN,2501
